protein-name,intent-group,available,Plasmid Name,Gene or insert Name,Alternative Gene/Insert Name 1,Entrez Gene ID,Additional Species of gene or insert,Relevant Mutations,N-terminal Tag,C-terminal Tag,Backbone Name,Bacterial Resistance,Selectable Marker,high or low copy,description,design-description
S,Yeast expression,false,pGBW-m4046276,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046286,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046293,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046299,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,false,pGBW-m4046307,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,false,pGBW-m4046328,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046350,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046406,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046409,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046464,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046494,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046501,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,false,pGBW-m4046532,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046538,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046565,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046574,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
S,Yeast expression,false,pGBW-m4046624,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins no tags,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046640,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins no tags,P141 covid19 protein expression and purification designs
S,Yeast expression,false,pGBW-m4046676,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins no tags,P141 covid19 protein expression and purification designs
S,Yeast expression,true,pGBW-m4046680,surface glycoprotein,,YP_009724390.1,Saccharomyces cerevisiae,wt,,,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins no tags,P141 covid19 protein expression and purification designs
S,E coli expression,true,pGBW-m4046758,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046801,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;Myc,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046828,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;6xHIS,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046863,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;StrepII,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046887,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;6xHIS,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046909,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;Myc,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046925,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;StrepII,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046931,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;FLAG_2,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046952,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;FLAG_2,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4046970,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,ori-013 - marker | cmR,chloramphenicol,,high,E. coli expression of SARS-CoV-2 proteins,COVID 19 template for expression
S,E coli expression,true,pGBW-m4136458,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,6xHIS;Linker_GGSG;SUMO tag;Linker_GGSG;Cleavable TEV,,pG9m-2 lacIQ ampR,ampicillin,,medium,"SARS-CoV-2 structural proteins in Emily's format, with solubility tags","E. coli expression plasmid harboring SARS-CoV-2 nucleocapsid protein, with various N-terminal solubility tags, a 6xHis tag, and TEV protease site."
S,E coli expression,true,pGBW-m4136461,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,6xHIS;Linker_GGSG;MBP;Linker_GGSG;Cleavable TEV,,pG9m-2 lacIQ ampR,ampicillin,,medium,"SARS-CoV-2 structural proteins in Emily's format, with solubility tags","E. coli expression plasmid harboring SARS-CoV-2 nucleocapsid protein, with various N-terminal solubility tags, a 6xHis tag, and TEV protease site."
S,E coli expression,true,pGBW-m4136464,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,6xHIS;Linker_GGSG;GST;Linker_GGSG;Cleavable TEV,,pG9m-2 lacIQ ampR,ampicillin,,medium,"SARS-CoV-2 structural proteins in Emily's format, with solubility tags","E. coli expression plasmid harboring SARS-CoV-2 nucleocapsid protein, with various N-terminal solubility tags, a 6xHis tag, and TEV protease site."
S,E coli expression,false,pGBW-m4136533,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;Myc,pG9m-2 lacIQ ampR,ampicillin,,medium,E. coli expression constructs for SARS-CoV-2 proteins in lacI med copy,COVID 19 template for expression
S,E coli expression,false,pGBW-m4136554,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,pG9m-2 lacIQ ampR,ampicillin,,medium,E. coli expression constructs for SARS-CoV-2 proteins in lacI med copy,COVID 19 template for expression
S,E coli expression,false,pGBW-m4136568,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;6xHIS,pG9m-2 lacIQ ampR,ampicillin,,medium,E. coli expression constructs for SARS-CoV-2 proteins in lacI med copy,COVID 19 template for expression
S,E coli expression,false,pGBW-m4136590,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,pG9m-2 lacIQ ampR,ampicillin,,medium,E. coli expression constructs for SARS-CoV-2 proteins in lacI med copy,COVID 19 template for expression
S,E coli expression,false,pGBW-m4136603,surface glycoprotein,,YP_009724390.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;FLAG_2,pG9m-2 lacIQ ampR,ampicillin,,medium,E. coli expression constructs for SARS-CoV-2 proteins in lacI med copy,COVID 19 template for expression
