protein-name,intent-group,available,Plasmid Name,Gene or insert Name,Alternative Gene/Insert Name 1,Entrez Gene ID,Additional Species of gene or insert,Relevant Mutations,N-terminal Tag,C-terminal Tag,Backbone Name,Bacterial Resistance,Selectable Marker,high or low copy,design-description
nsp13,E coli expression,true,pGBW-m4046760,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;6xHIS,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046766,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;StrepII,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046813,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;StrepII,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046841,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;FLAG_2,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046851,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;HA,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046898,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046911,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;Myc,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046918,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;Myc,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046923,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;6xHIS,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,true,pGBW-m4046937,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;FLAG_2,ori-013 - marker | cmR,chloramphenicol,,high,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136564,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;Myc,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136575,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;FLAG_2,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136594,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;6xHIS,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136604,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;HA,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136613,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;StrepII,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136642,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;FLAG_2,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136653,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;6xHIS,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136660,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,wt,,Cleavable TEV;HA,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136684,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;StrepII,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
nsp13,E coli expression,false,pGBW-m4136753,helicase,,YP_009725308.1,Escherichia coli str. K-12 substr. MG1655,Escherichia coli recode 1,,Cleavable TEV;Myc,pG9m-2 lacIQ ampR,ampicillin,,medium,COVID 19 template for expression
