intent-group,loom-design,molecule,strain,loom-name,loom-description,design/epitope,design/misc,design/misc-2,design-genome/organism,design/orf,design/epitope-protein-mutations,design/epitope-source-organism,design/orf-protein-mutations,design/orf-source-organism,design/part,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
Mammalian expression,1056,4252972,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136087,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252975,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252970,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4252980,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136059,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,,,wt,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252990,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Hygro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136068,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
Mammalian expression,1056,4252981,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_Puro_6 with AarI site removed,ampicillin,high
Mammalian expression,1056,4136064,,Mammalian encoding Covid19 orf expression round 1 Biofab (1046),Synthesis of Mammalian encoded Covid19 orfs in mammalian plasmid backbones,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,,d1,Severe acute respiratory syndrome coronavirus 2,,pTwist_CMV_6,ampicillin,high
