intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-2,design/promoter,design/orf-protein-mutations,design/orf-source-organism,design/orf-2-protein-mutations,design/orf-2-source-organism,design/promoter-source-organism,design-genome/organism,design/backbone
Yeast expression,946,4046375,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046505,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046498,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046537,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046404,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046473,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046549,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046387,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046161,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046267,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046215,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046513,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046311,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046468,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046528,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
