intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-protein-mutations,design/orf-source-organism,design/misc,design-genome/organism,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
E coli expression,951,4046890,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046778,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046869,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046939,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046977,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046850,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046914,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046973,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046945,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046923,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
